homo,lumo,gap,single_bond,double_bond,triple_bond,aromatic_bond
-0.228,-0.076,0.152,31.0,2.0,0.0,43.0
-0.197,-0.098,0.099,31.0,2.0,0.0,43.0
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.118,0.053,31.0,2.0,0.0,43.0
-0.228,-0.076,0.152,31.0,2.0,0.0,43.0
-0.197,-0.098,0.099,31.0,2.0,0.0,43.0
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.119,0.052,31.0,2.0,0.0,43.0
-0.228,-0.077,0.151,31.0,2.0,0.0,43.0
-0.197,-0.099,0.098,31.0,2.0,0.0,43.0
-0.187,-0.099,0.088,31.0,2.0,0.0,43.0
-0.171,-0.119,0.052,31.0,2.0,0.0,43.0
-0.228,-0.077,0.151,31.0,2.0,0.0,43.0
-0.197,-0.099,0.098,31.0,2.0,0.0,43.0
-0.186,-0.098,0.088,31.0,2.0,0.0,43.0
-0.17,-0.118,0.052,31.0,2.0,0.0,43.0
-0.226,-0.076,0.15,31.0,2.0,0.0,43.0
-0.195,-0.098,0.097,31.0,2.0,0.0,43.0
-0.19,-0.114,0.076,22.0,0.0,0.0,39.0
-0.174,-0.132,0.042,22.0,0.0,0.0,39.0
-0.23,-0.093,0.137,22.0,0.0,0.0,39.0
-0.199,-0.115,0.084,22.0,0.0,0.0,39.0
-0.189,-0.114,0.075,22.0,0.0,0.0,39.0
-0.174,-0.133,0.041,22.0,0.0,0.0,39.0
-0.229,-0.094,0.135,22.0,0.0,0.0,39.0
-0.198,-0.115,0.083,22.0,0.0,0.0,39.0
-0.189,-0.115,0.074,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.198,-0.115,0.083,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.227,-0.094,0.133,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.189,-0.115,0.074,22.0,0.0,0.0,39.0
-0.174,-0.133,0.041,22.0,0.0,0.0,39.0
-0.229,-0.094,0.135,22.0,0.0,0.0,39.0
-0.198,-0.115,0.083,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.227,-0.094,0.133,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.189,-0.115,0.074,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.198,-0.115,0.083,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.189,-0.115,0.074,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.198,-0.115,0.083,22.0,0.0,0.0,39.0
-0.19,-0.114,0.076,22.0,0.0,0.0,39.0
-0.174,-0.132,0.042,22.0,0.0,0.0,39.0
-0.23,-0.093,0.137,22.0,0.0,0.0,39.0
-0.199,-0.115,0.084,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.095,0.133,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.189,-0.114,0.075,22.0,0.0,0.0,39.0
-0.174,-0.133,0.041,22.0,0.0,0.0,39.0
-0.229,-0.094,0.135,22.0,0.0,0.0,39.0
-0.198,-0.115,0.083,22.0,0.0,0.0,39.0
-0.189,-0.115,0.074,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.229,-0.094,0.135,22.0,0.0,0.0,39.0
-0.198,-0.115,0.083,22.0,0.0,0.0,39.0
-0.188,-0.115,0.073,22.0,0.0,0.0,39.0
-0.173,-0.133,0.04,22.0,0.0,0.0,39.0
-0.228,-0.094,0.134,22.0,0.0,0.0,39.0
-0.197,-0.115,0.082,22.0,0.0,0.0,39.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.175,-0.121,0.054,29.0,0.0,2.0,28.0
-0.235,-0.074,0.161,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.175,-0.121,0.054,29.0,0.0,2.0,28.0
-0.235,-0.074,0.161,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.175,-0.121,0.054,29.0,0.0,2.0,28.0
-0.236,-0.074,0.162,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.194,-0.099,0.095,29.0,0.0,2.0,28.0
-0.175,-0.12,0.055,29.0,0.0,2.0,28.0
-0.236,-0.074,0.162,29.0,0.0,2.0,28.0
-0.203,-0.098,0.105,29.0,0.0,2.0,28.0
-0.196,-0.103,0.093,29.0,0.0,2.0,28.0
-0.176,-0.124,0.052,29.0,0.0,2.0,28.0
-0.239,-0.078,0.161,29.0,0.0,2.0,28.0
-0.205,-0.102,0.103,29.0,0.0,2.0,28.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.175,-0.121,0.054,29.0,0.0,2.0,28.0
-0.235,-0.074,0.161,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.175,-0.121,0.054,29.0,0.0,2.0,28.0
-0.235,-0.074,0.161,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.197,-0.103,0.094,29.0,0.0,2.0,28.0
-0.177,-0.124,0.053,29.0,0.0,2.0,28.0
-0.239,-0.078,0.161,29.0,0.0,2.0,28.0
-0.206,-0.102,0.104,29.0,0.0,2.0,28.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.175,-0.121,0.054,29.0,0.0,2.0,28.0
-0.235,-0.074,0.161,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.197,-0.103,0.094,29.0,0.0,2.0,28.0
-0.177,-0.124,0.053,29.0,0.0,2.0,28.0
-0.239,-0.078,0.161,29.0,0.0,2.0,28.0
-0.206,-0.102,0.104,29.0,0.0,2.0,28.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.174,-0.12,0.054,29.0,0.0,2.0,28.0
-0.235,-0.074,0.161,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.193,-0.099,0.094,29.0,0.0,2.0,28.0
-0.175,-0.121,0.054,29.0,0.0,2.0,28.0
-0.235,-0.074,0.161,29.0,0.0,2.0,28.0
-0.202,-0.098,0.104,29.0,0.0,2.0,28.0
-0.184,-0.105,0.079,37.0,0.0,0.0,46.0
-0.168,-0.125,0.043,37.0,0.0,0.0,46.0
-0.224,-0.082,0.142,37.0,0.0,0.0,46.0
-0.193,-0.105,0.088,37.0,0.0,0.0,46.0
-0.184,-0.105,0.079,37.0,0.0,0.0,46.0
-0.169,-0.125,0.044,37.0,0.0,0.0,46.0
-0.225,-0.082,0.143,37.0,0.0,0.0,46.0
-0.194,-0.105,0.089,37.0,0.0,0.0,46.0
-0.185,-0.105,0.08,37.0,0.0,0.0,46.0
-0.17,-0.125,0.045,37.0,0.0,0.0,46.0
-0.226,-0.082,0.144,37.0,0.0,0.0,46.0
-0.194,-0.104,0.09,37.0,0.0,0.0,46.0
-0.184,-0.106,0.078,37.0,0.0,0.0,46.0
-0.168,-0.125,0.043,37.0,0.0,0.0,46.0
-0.224,-0.082,0.142,37.0,0.0,0.0,46.0
-0.193,-0.105,0.088,37.0,0.0,0.0,46.0
-0.185,-0.105,0.08,37.0,0.0,0.0,46.0
-0.169,-0.125,0.044,37.0,0.0,0.0,46.0
-0.225,-0.082,0.143,37.0,0.0,0.0,46.0
-0.194,-0.104,0.09,37.0,0.0,0.0,46.0
-0.184,-0.105,0.079,37.0,0.0,0.0,46.0
-0.169,-0.125,0.044,37.0,0.0,0.0,46.0
-0.224,-0.083,0.141,37.0,0.0,0.0,46.0
-0.193,-0.105,0.088,37.0,0.0,0.0,46.0
-0.184,-0.105,0.079,37.0,0.0,0.0,46.0
-0.169,-0.125,0.044,37.0,0.0,0.0,46.0
-0.225,-0.082,0.143,37.0,0.0,0.0,46.0
-0.194,-0.105,0.089,37.0,0.0,0.0,46.0
-0.184,-0.105,0.079,37.0,0.0,0.0,46.0
-0.168,-0.125,0.043,37.0,0.0,0.0,46.0
-0.224,-0.082,0.142,37.0,0.0,0.0,46.0
-0.193,-0.105,0.088,37.0,0.0,0.0,46.0
-0.186,-0.105,0.081,37.0,0.0,0.0,46.0
-0.17,-0.125,0.045,37.0,0.0,0.0,46.0
-0.226,-0.081,0.145,37.0,0.0,0.0,46.0
-0.195,-0.104,0.091,37.0,0.0,0.0,46.0
-0.185,-0.105,0.08,37.0,0.0,0.0,46.0
-0.169,-0.125,0.044,37.0,0.0,0.0,46.0
-0.225,-0.082,0.143,37.0,0.0,0.0,46.0
-0.194,-0.105,0.089,37.0,0.0,0.0,46.0
-0.185,-0.092,0.093,29.0,0.0,0.0,30.0
-0.169,-0.112,0.057,29.0,0.0,0.0,30.0
-0.226,-0.068,0.158,29.0,0.0,0.0,30.0
-0.195,-0.091,0.104,29.0,0.0,0.0,30.0
-0.185,-0.092,0.093,29.0,0.0,0.0,30.0
-0.169,-0.112,0.057,29.0,0.0,0.0,30.0
-0.226,-0.068,0.158,29.0,0.0,0.0,30.0
-0.194,-0.092,0.102,29.0,0.0,0.0,30.0
-0.183,-0.092,0.091,29.0,0.0,0.0,30.0
-0.167,-0.112,0.055,29.0,0.0,0.0,30.0
-0.223,-0.068,0.155,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.183,-0.092,0.091,29.0,0.0,0.0,30.0
-0.167,-0.112,0.055,29.0,0.0,0.0,30.0
-0.223,-0.068,0.155,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.183,-0.093,0.09,29.0,0.0,0.0,30.0
-0.168,-0.112,0.056,29.0,0.0,0.0,30.0
-0.224,-0.069,0.155,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.183,-0.092,0.091,29.0,0.0,0.0,30.0
-0.167,-0.112,0.055,29.0,0.0,0.0,30.0
-0.224,-0.069,0.155,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.183,-0.092,0.091,29.0,0.0,0.0,30.0
-0.167,-0.112,0.055,29.0,0.0,0.0,30.0
-0.223,-0.069,0.154,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.183,-0.092,0.091,29.0,0.0,0.0,30.0
-0.167,-0.112,0.055,29.0,0.0,0.0,30.0
-0.224,-0.068,0.156,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.185,-0.092,0.093,29.0,0.0,0.0,30.0
-0.169,-0.112,0.057,29.0,0.0,0.0,30.0
-0.226,-0.068,0.158,29.0,0.0,0.0,30.0
-0.194,-0.092,0.102,29.0,0.0,0.0,30.0
-0.185,-0.092,0.093,29.0,0.0,0.0,30.0
-0.169,-0.112,0.057,29.0,0.0,0.0,30.0
-0.226,-0.068,0.158,29.0,0.0,0.0,30.0
-0.194,-0.092,0.102,29.0,0.0,0.0,30.0
-0.183,-0.091,0.092,29.0,0.0,0.0,30.0
-0.167,-0.111,0.056,29.0,0.0,0.0,30.0
-0.223,-0.067,0.156,29.0,0.0,0.0,30.0
-0.192,-0.091,0.101,29.0,0.0,0.0,30.0
-0.184,-0.092,0.092,29.0,0.0,0.0,30.0
-0.168,-0.112,0.056,29.0,0.0,0.0,30.0
-0.224,-0.068,0.156,29.0,0.0,0.0,30.0
-0.193,-0.091,0.102,29.0,0.0,0.0,30.0
-0.183,-0.092,0.091,29.0,0.0,0.0,30.0
-0.168,-0.112,0.056,29.0,0.0,0.0,30.0
-0.224,-0.068,0.156,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.183,-0.092,0.091,29.0,0.0,0.0,30.0
-0.167,-0.112,0.055,29.0,0.0,0.0,30.0
-0.224,-0.068,0.156,29.0,0.0,0.0,30.0
-0.192,-0.092,0.1,29.0,0.0,0.0,30.0
-0.183,-0.091,0.092,29.0,0.0,0.0,30.0
-0.168,-0.111,0.057,29.0,0.0,0.0,30.0
-0.224,-0.067,0.157,29.0,0.0,0.0,30.0
-0.193,-0.091,0.102,29.0,0.0,0.0,30.0
-0.195,-0.119,0.076,39.0,4.0,0.0,22.0
-0.179,-0.137,0.042,39.0,4.0,0.0,22.0
-0.233,-0.098,0.135,39.0,4.0,0.0,22.0
-0.203,-0.119,0.084,39.0,4.0,0.0,22.0
-0.194,-0.119,0.075,39.0,4.0,0.0,22.0
-0.179,-0.137,0.042,39.0,4.0,0.0,22.0
-0.233,-0.098,0.135,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.118,0.076,39.0,4.0,0.0,22.0
-0.178,-0.137,0.041,39.0,4.0,0.0,22.0
-0.233,-0.097,0.136,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.118,0.076,39.0,4.0,0.0,22.0
-0.178,-0.136,0.042,39.0,4.0,0.0,22.0
-0.233,-0.098,0.135,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.118,0.076,39.0,4.0,0.0,22.0
-0.178,-0.136,0.042,39.0,4.0,0.0,22.0
-0.233,-0.097,0.136,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.118,0.076,39.0,4.0,0.0,22.0
-0.179,-0.137,0.042,39.0,4.0,0.0,22.0
-0.233,-0.097,0.136,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.119,0.075,39.0,4.0,0.0,22.0
-0.179,-0.137,0.042,39.0,4.0,0.0,22.0
-0.233,-0.098,0.135,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.119,0.075,39.0,4.0,0.0,22.0
-0.179,-0.137,0.042,39.0,4.0,0.0,22.0
-0.233,-0.098,0.135,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.119,0.075,39.0,4.0,0.0,22.0
-0.179,-0.137,0.042,39.0,4.0,0.0,22.0
-0.233,-0.098,0.135,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.119,0.075,39.0,4.0,0.0,22.0
-0.178,-0.137,0.041,39.0,4.0,0.0,22.0
-0.233,-0.098,0.135,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.194,-0.118,0.076,39.0,4.0,0.0,22.0
-0.178,-0.136,0.042,39.0,4.0,0.0,22.0
-0.233,-0.097,0.136,39.0,4.0,0.0,22.0
-0.203,-0.118,0.085,39.0,4.0,0.0,22.0
-0.23,-0.02,0.21,7.0,0.0,0.0,5.0
-0.204,-0.049,0.155,7.0,0.0,0.0,5.0
-0.279,0.015,0.294,7.0,0.0,0.0,5.0
-0.24,-0.016,0.224,7.0,0.0,0.0,5.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.219,-0.069,0.15,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.092,0.088,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.091,0.098,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.092,0.088,44.0,0.0,0.0,36.0
-0.165,-0.111,0.054,44.0,0.0,0.0,36.0
-0.22,-0.068,0.152,44.0,0.0,0.0,36.0
-0.189,-0.091,0.098,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.219,-0.069,0.15,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.092,0.088,44.0,0.0,0.0,36.0
-0.165,-0.111,0.054,44.0,0.0,0.0,36.0
-0.22,-0.068,0.152,44.0,0.0,0.0,36.0
-0.189,-0.091,0.098,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.219,-0.069,0.15,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.18,-0.093,0.087,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.179,-0.093,0.086,44.0,0.0,0.0,36.0
-0.165,-0.112,0.053,44.0,0.0,0.0,36.0
-0.22,-0.069,0.151,44.0,0.0,0.0,36.0
-0.189,-0.092,0.097,44.0,0.0,0.0,36.0
-0.176,-0.108,0.068,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.087,0.129,63.0,0.0,0.0,70.0
-0.185,-0.108,0.077,63.0,0.0,0.0,70.0
-0.177,-0.108,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.086,0.13,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
-0.175,-0.108,0.067,63.0,0.0,0.0,70.0
-0.162,-0.127,0.035,63.0,0.0,0.0,70.0
-0.214,-0.087,0.127,63.0,0.0,0.0,70.0
-0.184,-0.108,0.076,63.0,0.0,0.0,70.0
-0.176,-0.108,0.068,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.215,-0.086,0.129,63.0,0.0,0.0,70.0
-0.185,-0.108,0.077,63.0,0.0,0.0,70.0
-0.177,-0.108,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.086,0.13,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
-0.177,-0.108,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.086,0.13,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
-0.176,-0.107,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.215,-0.087,0.128,63.0,0.0,0.0,70.0
-0.185,-0.108,0.077,63.0,0.0,0.0,70.0
-0.177,-0.108,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.217,-0.086,0.131,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
-0.177,-0.108,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.086,0.13,63.0,0.0,0.0,70.0
-0.186,-0.107,0.079,63.0,0.0,0.0,70.0
-0.177,-0.108,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.086,0.13,63.0,0.0,0.0,70.0
-0.186,-0.107,0.079,63.0,0.0,0.0,70.0
-0.177,-0.107,0.07,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.087,0.129,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
-0.175,-0.108,0.067,63.0,0.0,0.0,70.0
-0.162,-0.127,0.035,63.0,0.0,0.0,70.0
-0.214,-0.087,0.127,63.0,0.0,0.0,70.0
-0.184,-0.108,0.076,63.0,0.0,0.0,70.0
-0.177,-0.107,0.07,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.086,0.13,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
-0.176,-0.107,0.069,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.086,0.13,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
-0.178,-0.107,0.071,63.0,0.0,0.0,70.0
-0.164,-0.126,0.038,63.0,0.0,0.0,70.0
-0.217,-0.086,0.131,63.0,0.0,0.0,70.0
-0.187,-0.108,0.079,63.0,0.0,0.0,70.0
-0.177,-0.107,0.07,63.0,0.0,0.0,70.0
-0.163,-0.126,0.037,63.0,0.0,0.0,70.0
-0.216,-0.087,0.129,63.0,0.0,0.0,70.0
-0.186,-0.108,0.078,63.0,0.0,0.0,70.0
